latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
21.76818,86.22256,348.66,0.48,0.4,2021-02-07,0740,N,VIIRS,n,2,299.36,8.96,D,0
21.81829,86.01105,335.84,0.4,0.37,2021-02-08,0721,N,VIIRS,n,2,309.42,1.84,D,0
21.82748,86.24076,304.66,0.39,0.36,2021-02-08,1950,N,VIIRS,n,2,283.71,0.72,N,0
21.82452,86.14765,300.3,0.39,0.36,2021-02-08,1950,N,VIIRS,n,2,286.22,0.61,N,0
21.8332,86.38237,334.26,0.49,0.4,2021-02-23,0740,N,VIIRS,n,2,301.72,3.28,D,0
21.77979,86.2104,309.45,0.39,0.36,2021-02-24,1950,N,VIIRS,n,2,288.09,1.3,N,0
21.77332,86.21374,323.2,0.39,0.36,2021-02-24,1950,N,VIIRS,n,2,290.13,1.39,N,0
21.7759,86.2136,309.72,0.39,0.36,2021-02-24,1950,N,VIIRS,n,2,290.47,0.53,N,0
21.77923,86.21417,307.46,0.39,0.36,2021-02-24,1950,N,VIIRS,n,2,288.06,0.53,N,0
21.68475,86.1441,316.49,0.39,0.36,2021-02-24,1950,N,VIIRS,n,2,293.68,1.75,N,0
21.77389,86.20998,299.13,0.39,0.36,2021-02-24,1950,N,VIIRS,n,2,289.08,0.68,N,0
21.78831,86.21008,335.29,0.42,0.45,2021-02-25,0702,N,VIIRS,n,2,304.85,4.04,D,0
21.78089,86.21611,340.27,0.42,0.45,2021-02-25,0702,N,VIIRS,n,2,305.86,9.73,D,0
21.88162,86.06187,338.13,0.42,0.45,2021-02-25,0702,N,VIIRS,l,2,312.67,4.33,D,0
21.88566,86.13481,306.79,0.41,0.45,2021-02-25,1931,N,VIIRS,n,2,292.29,1.7,N,0
21.88058,86.10687,303.15,0.41,0.45,2021-02-25,1931,N,VIIRS,n,2,291.82,0.8,N,0
21.76142,86.09681,335.02,0.57,0.43,2021-02-28,0746,N,VIIRS,l,2,308.24,4.81,D,0
21.76077,86.09144,336.7,0.57,0.43,2021-02-28,0746,N,VIIRS,l,2,309.82,4.81,D,0
21.70942,86.12749,305.19,0.39,0.44,2021-02-28,2015,N,VIIRS,n,2,293.38,1.11,N,0
21.7741,86.20528,298.96,0.39,0.44,2021-02-28,2015,N,VIIRS,n,2,284.64,0.49,N,0
21.70876,86.131,315.05,0.39,0.44,2021-02-28,2015,N,VIIRS,n,2,294.24,2.05,N,0
21.6906,86.13908,307.17,0.39,0.44,2021-02-28,2015,N,VIIRS,n,2,286.74,1.63,N,0
21.81154,86.1181,334.12,0.39,0.36,2021-03-01,0727,N,VIIRS,l,2,307.33,6.54,D,0
21.82311,86.05908,338.91,0.38,0.36,2021-03-01,0727,N,VIIRS,l,2,311.85,2.81,D,0
21.72947,86.0413,347.93,0.38,0.36,2021-03-01,0727,N,VIIRS,n,2,312.82,9.85,D,0
21.71296,86.13524,334.33,0.39,0.36,2021-03-01,0727,N,VIIRS,l,2,305.39,5.4,D,0
21.719,86.0621,348.27,0.38,0.36,2021-03-01,0727,N,VIIRS,n,2,312.35,7.34,D,0
21.80215,86.19195,337.19,0.39,0.36,2021-03-01,0727,N,VIIRS,n,2,307.9,3.89,D,0
21.79939,86.19621,340.26,0.39,0.36,2021-03-01,0727,N,VIIRS,n,2,308.49,3.89,D,0
21.69301,86.14992,303.4,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,293.19,0.76,N,0
21.77036,86.17516,307.02,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,291.79,1,N,0
21.71697,86.39919,300.76,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,289.32,0.46,N,0
21.73629,86.40662,310.25,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,291.03,0.86,N,0
21.7396,86.40726,308.76,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,290.84,0.86,N,0
21.99722,86.13531,317.56,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,294.22,1.84,N,0
21.9963,86.11979,310.29,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,293.15,1.43,N,0
21.99391,86.1347,313.64,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,292.84,1.61,N,0
21.80501,86.19296,311.8,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,293,0.86,N,0
21.8056,86.18929,302.79,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,292.52,0.86,N,0
21.95095,86.2953,313.24,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,287.96,0.69,N,0
21.9924,86.12291,307.22,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,292.81,0.97,N,0
21.79386,86.19865,312.43,0.39,0.36,2021-03-01,1956,N,VIIRS,n,2,292.63,1.04,N,0
21.79281,86.20274,345.02,0.51,0.41,2021-03-02,0708,N,VIIRS,n,2,313.71,8.16,D,0
21.94679,86.28075,332.74,0.5,0.41,2021-03-02,0708,N,VIIRS,l,2,306.04,3.32,D,0
21.94005,86.28641,339.3,0.5,0.41,2021-03-02,0708,N,VIIRS,l,2,310.77,7.42,D,0
21.79937,86.10793,336.94,0.52,0.41,2021-03-02,0708,N,VIIRS,l,2,309.71,8.4,D,0
21.93922,86.2817,343.66,0.5,0.41,2021-03-02,0708,N,VIIRS,n,2,313.09,6.03,D,0
21.94301,86.28121,337.82,0.5,0.41,2021-03-02,0708,N,VIIRS,l,2,309.79,6.03,D,0
21.79181,86.10949,346.52,0.52,0.41,2021-03-02,0708,N,VIIRS,n,2,308.64,6.41,D,0
21.79661,86.20222,337.17,0.51,0.41,2021-03-02,0708,N,VIIRS,n,2,308.15,8.16,D,0
21.94007,86.27489,301.66,0.5,0.41,2021-03-02,1937,N,VIIRS,n,2,290.03,0.75,N,0
21.94437,86.27122,302.99,0.5,0.41,2021-03-02,1937,N,VIIRS,n,2,291.73,2.05,N,0
21.73819,86.08688,340.28,0.33,0.55,2021-03-03,0650,N,VIIRS,n,2,309.85,1.75,D,0
21.88051,86.2966,310.49,0.32,0.54,2021-03-03,1918,N,VIIRS,n,2,290.24,0.77,N,0
21.93929,86.2224,299.51,0.32,0.55,2021-03-03,1918,N,VIIRS,n,2,288.08,0.46,N,0
21.93748,86.18995,303.13,0.32,0.55,2021-03-03,1918,N,VIIRS,n,2,291.96,0.62,N,0
21.803,86.21227,305.42,0.32,0.55,2021-03-03,1918,N,VIIRS,n,2,291.07,0.81,N,0
21.80336,86.20868,304.39,0.32,0.55,2021-03-03,1918,N,VIIRS,n,2,290.75,0.81,N,0
21.94875,86.31,335.54,0.49,0.65,2021-03-04,0811,N,VIIRS,n,2,301.84,3.24,D,0
21.86038,86.0754,351.19,0.47,0.64,2021-03-04,0811,N,VIIRS,n,2,308.52,8.3,D,0
21.93527,86.26011,301.81,0.65,0.73,2021-03-04,1859,N,VIIRS,n,2,289.5,1.22,N,0
21.94145,86.26913,302.58,0.64,0.72,2021-03-04,1859,N,VIIRS,n,2,290.71,1.22,N,0
21.9401,86.26405,303.69,0.64,0.72,2021-03-04,1859,N,VIIRS,n,2,291.06,2.28,N,0
21.93965,86.26978,302.26,0.64,0.72,2021-03-04,1859,N,VIIRS,n,2,290.43,1.79,N,0
21.87575,86.11605,301.95,0.47,0.64,2021-03-04,2040,N,VIIRS,n,2,291.18,0.65,N,0
21.94342,86.26842,302.21,0.48,0.65,2021-03-04,2040,N,VIIRS,n,2,290.97,0.92,N,0
21.8824,86.11413,303.06,0.47,0.64,2021-03-04,2040,N,VIIRS,n,2,290.04,0.65,N,0
21.93828,86.26369,304.62,0.48,0.65,2021-03-04,2040,N,VIIRS,n,2,290.39,0.92,N,0
21.87657,86.11255,306.33,0.47,0.64,2021-03-04,2040,N,VIIRS,n,2,290.89,0.65,N,0
21.79974,86.00204,341.12,0.46,0.47,2021-03-05,0752,N,VIIRS,n,2,309.14,4.36,D,0
21.85986,86.348,339.1,0.49,0.49,2021-03-05,0752,N,VIIRS,n,2,302.54,3.87,D,0
21.85933,86.34322,330.59,0.49,0.48,2021-03-05,0752,N,VIIRS,l,2,302.81,3.87,D,0
21.86509,86.10829,341.18,0.47,0.48,2021-03-05,0752,N,VIIRS,n,2,306.11,5.09,D,0
21.95224,86.17423,335.5,0.48,0.48,2021-03-05,0752,N,VIIRS,l,2,305.96,7.14,D,0
21.95525,86.16056,344.15,0.48,0.48,2021-03-05,0752,N,VIIRS,n,2,306.3,6.31,D,0
21.95474,86.15593,345.28,0.48,0.48,2021-03-05,0752,N,VIIRS,n,2,307.8,6.31,D,0
21.96175,86.17873,334.3,0.48,0.48,2021-03-05,0752,N,VIIRS,l,2,306.93,3.69,D,0
21.96124,86.17413,334.48,0.48,0.48,2021-03-05,0752,N,VIIRS,l,2,307.57,3.69,D,0
21.99202,86.12698,339.26,0.48,0.48,2021-03-05,0752,N,VIIRS,n,2,306.96,4.51,D,0
21.702,86.03921,344.37,0.47,0.47,2021-03-05,0752,N,VIIRS,n,2,310.48,7,D,0
21.70154,86.03589,343.29,0.47,0.47,2021-03-05,0752,N,VIIRS,n,2,310.02,8.01,D,0
21.77464,86.09089,335.12,0.47,0.48,2021-03-05,0752,N,VIIRS,n,2,309.84,2.77,D,0
21.7309,86.05956,335.14,0.47,0.48,2021-03-05,0752,N,VIIRS,l,2,308.7,3.28,D,0
21.78788,86.16811,332.58,0.48,0.48,2021-03-05,0752,N,VIIRS,l,2,304.32,4.29,D,0
21.79389,86.18143,338.1,0.48,0.48,2021-03-05,0752,N,VIIRS,n,2,304.67,3.57,D,0
21.79442,86.10726,343.23,0.47,0.48,2021-03-05,0752,N,VIIRS,n,2,306.36,4.4,D,0
21.79991,86.00008,342.89,0.46,0.47,2021-03-05,0752,N,VIIRS,n,2,309.72,2.92,D,0
21.91501,86.34062,303.97,0.49,0.49,2021-03-05,2021,N,VIIRS,n,2,290.38,1.04,N,0
21.88335,86.11907,341.95,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,297.12,2.49,N,0
21.97479,86.18192,308.33,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,293.37,1.64,N,0
21.88414,86.11508,314.2,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,294.05,2.49,N,0
21.87978,86.11398,304.29,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,293.98,2.49,N,0
21.879,86.1179,307.11,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,294.54,2.49,N,0
21.87103,86.11196,305.57,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,293.99,1.78,N,0
21.86224,86.15572,304.88,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,291.22,1.8,N,0
21.86751,86.10667,307.98,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,294.21,1.78,N,0
21.85964,86.10023,310.15,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,294.28,1.84,N,0
21.85883,86.10428,309.24,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,294.91,1.84,N,0
21.85806,86.1081,316,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,294.76,2.09,N,0
21.85728,86.11196,310.81,0.48,0.48,2021-03-05,2021,N,VIIRS,n,2,294.08,2.09,N,0
